1009493#0	中国俄罗斯族有多少人？
3575034#0	印度洋的面积有多大？
3678420#0	中国有哪些天文台？
3711083#0	修正主义指什么？
3722020#0	菲律宾的首都在哪里？
3745646#0	江苏南京市副市长是谁？
3767971#0	湖南省有哪些知名湘菜？
3789850#0	中国铁路得过哪些荣誉？
3820752#0	满洲国的首都是哪里？
3829719#0	喀麦隆首都在哪里？
3842421#0	广东省有哪些河流流经？
384494#0	澳大利亚国土面积多大？
386482#0	清朝的开国皇帝是谁？
387983#0	世界上有哪些国家讲西班牙语？
3917#0	英国第一任君主是谁？
392137#0	香港有哪些警匪片？
3933363#0	台湾属于哪一气候类型？
3965848#0	意大利首都是哪里？
3986407#0	大泽乡起义发生于哪一年？
398674#0	“牛头不对马嘴”是什么意思
402986#0	皮蛋有哪些制作流程？
4047042#0	白俄罗斯共和国面积多大？
4230656#0	郭靖宇导演过哪些作品？
427995#0	世界上有哪些共产主义国家？
429074#0	江苏省有多少城市？
4485570#0	企业秘书有哪些职责？
4542237#0	日本有哪些火山？
4566650#0	编程有哪几种语言？
4643932#0	有哪些工作犬种类？
4671130#0	秘鲁有多少个区？
4675878#0	美国最大的公园在哪一州？
4690218#0	台湾女子团体SHE成员是谁？
4714933#0	哥斯达黎加的国歌是什么？
4782641#0	厄瓜多尔的首都是哪里？
4805231#0	世界上的西班牙语国家有哪些？
4807731#0	巴西有哪些足球运动员？
4818008#0	墨西哥首都是哪里？
4854553#0	肯尼亚总统是谁？
4895#0	拿破仑帝国哪一年瓦解?
492229#0	大彗星面积多大？
4946100#0	元朝的开国皇帝是谁？
4952417#0	中国教育部哪一年成立？
49647#0	期货有哪些作用？
4972338#0	四川省有哪些美食？
5028923#0	重庆市有哪些区？
5048699#0	晶界有哪些分类？
5057774#0	明朝最后一任皇帝是谁？
506820#0	蒙古发现哪些化石？
5073576#0	八大行星包括哪些？
509765#0	染色体有哪些组成部分？
5156310#0	中国哪些基建公司？
5172645#0	加拿大魁北克适用的法律体系是什么？
518277#0	光绪皇帝哪一年登基？
5187134#0	中欧地区有哪些国家？
5188801#0	参议院有哪些职责？
5216220#0	中国有哪些社交软件？
524302#0	美国第一名航天员是谁？
5281126#0	白宫是哪一年建造？
5286118#0	有哪些电子行业的公司？
5304336#0	皮皮虾学名是什么？
5317888#0	鼠尾草有什么功效？
535187#0	日本料理主要用哪些鱼类？
5373229#0	中国围棋有哪些特点？
5376173#0	哲学上有哪些概念？
5401198#0	麦克阿瑟参加国哪些战争？
5429865#0	我国第一台月球车叫什么名字？
5430028#0	美国人口最多的城市是哪里？
5476266#0	燕麦有哪些功效？
5484720#0	中共中央政治局常委有哪些？
5494982#0	基督教有哪三大流派？
5502525#0	乌克兰的国土面积有多大？
5517620#0	中国女足有哪些成绩？
5524344#0	古埃及有哪些出土文物？
5524487#0	混沌现象有哪些特征？
552800#0	叙利亚有哪些军队？
5563155#0	中国战国时代有哪些国家？
5570734#0	电脑的发展历程有哪些？
5606079#0	耶路撒冷位于哪个国家？
5631605#0	美国烂番茄评分最高的喜剧片是哪一部？
5650882#0	中国共产党中国人民政治协商会议什么时间召开？
565177#0	越南战争哪一年爆发？
5679606#0	东非有哪些国家？
5798288#0	中国和香港合作了哪些电视剧？
59019#0	唐代诗人李白的代表作有哪些？
5950660#0	西班牙哪一年建国？
5994048#0	美国独立宣言是哪一年撰写的？
6038439#0	无线电视哪一年创立？
6044052#0	波兰首都面积多大？
6056078#0	肺部有哪些功能？
6084114#0	菲律宾的首都是哪里？
6086338#0	巴西的首都是哪里？
6105157#0	瑞士的国歌是什么？
6105722#0	纽约市有哪些高层建筑？
6182502#0	澳门有哪些赌场？
624381#0	梵高哪一年去世？
6272051#0	中东有多少国家？
6331150#0	葡萄糖有哪些作用？
634280#0	香港最大的酒店是哪个？
6363615#0	中国有哪些体操奥运冠军？
6400991#0	元末明初有哪些画家？
6402503#0	湖南省省委书记是谁？
6414757#0	中华民国第一节立法委员选举哪一年举办？
64216#0	基督教有哪些派别？
6481844#0	古印欧人起始于哪里？
650802#0	电影《蜘蛛侠》的主角扮演者是哪位演员？
6522970#0	化学键有哪些分类？
6530715#0	复旦大学在哪个城市？
654709#0	猪肉有哪些烹饪方法？
6552781#0	台湾2019年国民生产总值多少？
6567154#0	周深有哪些代表作？
658#0	自由软件基金会创始人是谁？
6593171#0	海南省面积多大？
6595664#0	无机化合物分为哪几类？
6628609#0	台湾最大的财阀是什么？
6647919#0	瑞典国旗有哪几种颜色？
6710960#0	大别山位于哪个省？
67347#0	电视剧《继承者们》的女主角是谁？
674078#0	曼联队哪一年成立？
6743551#0	《哈利波特》的作者是谁？
6789659#0	联合国总部在哪里？
6817985#0	欧洲中部有哪些欧盟国家？
682385#0	香港有哪些航线？
6911039#0	联合国有多少成员国？
6929445#0	香港三大地理分区有哪些？
6930896#0	葡萄牙的邻国是哪个国家？
6947878#0	全国代表大会的举办周期是多少年？
6960093#0	天主教十诫是什么？
6975607#0	世界上有哪些俄语国家？
6992361#0	李玟有哪些代表作？
699798#0	有机化合物有哪些基本反应？
7008822#0	美国通用电气公司总裁是谁？
7019032#0	中国第一家游戏公司是哪家？
7023860#0	《圣经》是哪些宗教的经典？
7047467#0	霍金毕业于哪所大学？
705051#0	北冰洋海域面积多大？
7062292#0	卡梅伦哪一年上任？
7074783#0	蚁群有哪些分工？
7075171#0	中国历史最后一位皇后是谁？
7075361#0	马铃薯最早由哪一国家传出？
7092005#0	古巴位于哪一时区？
7118833#0	汶川大地震哪一年发生？
7122066#0	日本NHK电视台有哪些经典的纪录片
7122606#0	大禹治水发生在哪一朝代？
7170038#0	新疆面积有多大？
7239800#0	台湾有哪些中央研究院的学者？
7243760#0	木星有哪些特征？
7252831#0	台湾有哪些羽毛球队？
7258925#0	美国现任国务卿是谁？
7262367#0	火星距离地球多远？
7265467#0	长江流域流经多少省份？
7265592#0	《名侦探柯南》哪一年出版？
7273910#0	德国海军有多少舰艇？
728414#0	金庸哪一年去世？
7300525#0	天主教有哪些教义？
7301429#0	尼加拉瓜总面积多少？
7306782#0	雍正皇帝的父亲是谁？
7312734#0	河北省有哪些农作物？
7335325#0	西班牙足球获得过几次欧洲杯冠军？
735382#0	陈水扁属于哪一党派？
737864#0	明治维新实施时间？
7380005#0	马拉松世界纪录的保持者是谁？
7408057#0	台湾国小有哪些课程？
741921#0	香港警察有哪些职能？
7427419#0	中国三国时期有哪些典故？
7430037#0	林俊杰在新加披国庆唱了哪些华语歌曲？
7443372#0	联合国五常国家有哪些？
7454365#0	印度与哪些国家邻国？
7475338#0	获得奥斯卡最佳电影的韩国电影是哪一部？
7493596#0	有哪些国家环太平洋？
750323#0	印度宗教有哪些分支？
7549261#0	上海市普陀区有多少小学？
7552826#0	秘鲁国土面积多大？
7555071#0	台湾有哪些饶舌歌手？
7652647#0	合肥有哪些大学？
7659399#0	酒精有哪些种类？
766127#0	南美洲有多少个国家？
7678189#0	贝多芬有哪些著名的交响曲作品
7688629#0	美国知名的摇滚曲有哪些？
7691151#0	BBC有哪些争议事件？
7719206#0	中国国民党有哪些人物？
7738286#0	超级联赛第一届在哪里举办？
7779127#0	剑桥大学世界排名多少？
7795889#0	委内瑞拉位于哪一大洲？
7818367#0	香奈儿品牌哪一年创立？
7843060#0	三星集团总裁是谁？
7848137#0	福建省副省长是谁？
795709#0	百老汇有哪些著名剧目？
802963#0	日本樱花盛开的时间是什么时候？
807863#0	比利时的官方语言是哪种？
819295#0	上海有哪些大学？
86616#0	江苏省会是哪里？
872847#0	大猩猩的脑容量有多大？
889280#0	日本知名摩托车品牌有哪些？
893621#0	《忍者神龟》的作者是谁？
898037#0	唐朝魏博现是在哪一城市？
901779#0	股市指数有哪些？
90713#0	英国的首相是谁？
911381#0	德语有多少使用人数？
928098#0	丹麦的国旗有哪几种颜色？
930782#0	台湾盛产哪些水果？
942417#0	中国共产党第十六届中央委员会在哪里召开？
954282#0	最先发明电脑的人是谁？
98206#0	全球知名石油公司有哪些？
992843#0	云南的平均海拔多少？
